Hour (Coded);Immobilized bus;Broken Truck;Vehicle excess;Accident victim;Running over;Fire vehicles;Occurrence involving freight;Incident involving dangerous freight;Lack of electricity;Fire;Point of flooding;Manifestations;Defect in the network of trolleybuses;Tree on the road;Semaphore off;Intermittent Semaphore;Slowness in traffic (%);Slowness in traffic (%) Predicted
7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,1;7,134648277153896
15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6,8;9,914991636359177
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;5,435607873168104
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,3;7,075963002738899
15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,1;9,739654726328833
1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;1;0;3,4;2,703393643555846
14;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4,9;10,383255293571183
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;8,407808864533866
23;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17,8;11,78647092919321
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,6;11,668957365537125
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,9;6,74789197682474
21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,5;11,688519123675455
23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19,6;13,815724443991217
22;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;13,7;12,479458644973164
14;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;6,2;9,578067852027512
18;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10,5;10,28609419303979
9;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6,7;8,16102590718123
24;0;1;0;0;0;0;0;0;2;0;3;0;0;0;1;0;20,2;19,93165384441158
14;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7,8;8,902780602641718
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,1;13,637383521022077
11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;8,4273706226722
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;11,012815313708806
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4,9;4,669527621779119
8;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;10,3;7,129253115325436
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,4;8,716318132309693
16;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12,5;10,282186178549999
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,3;12,6531704432796
