Hour (Coded);Immobilized bus;Broken Truck;Vehicle excess;Accident victim;Running over;Fire vehicles;Occurrence involving freight;Incident involving dangerous freight;Lack of electricity;Fire;Point of flooding;Manifestations;Defect in the network of trolleybuses;Tree on the road;Semaphore off;Intermittent Semaphore;Slowness in traffic (%);Slowness in traffic (%) Predicted
7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,1;7,134646074408708
15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6,8;9,914990169825618
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;5,4356084878708835
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,3;7,075964251711055
15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,1;9,739654688987098
1;0;0;0;1;0;0;0;0;0;0;0;0;8;0;1;0;3,4;2,7034344610055854
14;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4,9;10,383239866489166
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;8,407809470349076
23;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17,8;11,786479891734974
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,6;11,668960390463534
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,9;6,74789309894302
21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,5;11,688520998029418
23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19,6;13,815722203147113
22;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;13,7;12,479451861498466
14;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;6,2;9,57806549580389
18;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10,5;10,286101234096925
9;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6,7;8,161019949187704
24;0;1;0;0;0;0;0;0;2;0;3;0;0;0;1;0;20,2;19,931661032195475
14;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7,8;8,902786916649974
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,1;13,637387307071739
11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;8,42737007791496
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;11,012818084927465
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4,9;4,669533709712218
8;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;10,3;7,129256088446175
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,4;8,716320015551226
16;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12,5;10,28218253772542
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,3;12,653173848767636
